County,Population
Miami-Dade County,"2,715,516"
Broward County,"1,909,151"
Palm Beach County,"1,446,277"
Hillsborough County,"1,378,883"
Orange County,"1,321,194"
Pinellas County,"957,875"
Duval County,"924,229"
Lee County,"718,679"
Polk County,"668,671"
Brevard County,"576,808"
Volusia County,"527,634"
Pasco County,"510,593"
Seminole County,"455,086"
Sarasota County,"412,144"
Manatee County,"373,853"
Collier County,"363,922"
Marion County,"348,371"
Osceola County,"338,619"
Lake County,"335,362"
Escambia County,"311,522"
St. Lucie County,"305,591"
Leon County,"288,102"
Alachua County,"263,148"
St. Johns County,"235,503"
Clay County,"207,291"
Okaloosa County,"200,737"
Hernando County,"182,696"
Bay County,"182,482"
Charlotte County,"176,954"
Santa Rosa County,"170,442"
Martin County,"157,581"
Indian River County,"150,984"
Citrus County,"143,087"
Sumter County,"120,999"
Flagler County,"107,139"
Highlands County,"102,101"
Nassau County,"80,578"
Monroe County,"76,325"
Putnam County,"72,766"
Columbia County,"69,105"
Walton County,"65,858"
Jackson County,"48,472"
Gadsden County,"46,017"
Suwannee County,"43,924"
Okeechobee County,"40,572"
Hendry County,"40,127"
Levy County,"39,961"
DeSoto County,"36,399"
Wakulla County,"31,877"
Baker County,"27,785"
Hardee County,"27,228"
Bradford County,"26,979"
Washington County,"24,566"
Taylor County,"22,098"
Holmes County,"19,430"
Madison County,"18,474"
Gilchrist County,"17,615"
Dixie County,"16,437"
Gulf County,"16,055"
Union County,"15,239"
Calhoun County,"14,444"
Hamilton County,"14,269"
Jefferson County,"14,105"
Glades County,"13,363"
Franklin County,"11,736"
Lafayette County,"8,744"
Liberty County,"8,365"
