fips_code,State,STNAME,County Name,Staffed All Beds,Staffed ICU Beds,Licensed All Beds,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Population,Population (20+),Population (65+),Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)],Licensed All Beds [Per 1000 People],Licensed All Beds [Per 1000 Adults (20+)],Licensed All Beds [Per 1000 Elderly (65+)],,,,
2016,AK,Alaska,Aleutians West,0,0,0,,,5723,4983,394,0,0,0,0,0,0,0,0,0,,,,Alaska
2020,AK,Alaska,Anchorage,979,73,1149,0.66,0.71,291538,213508,32333,3.358,4.585,30.279,0.25,0.342,2.258,3.941,5.382,35.536,,,,Alaska
2050,AK,Alaska,Bethel,34,0,37,0.4,,18216,11082,1402,1.866,3.068,24.251,0,0,0,2.031,3.339,26.391,,,,Alaska
2070,AK,Alaska,Dillingham,18,0,18,0.15,,5000,3278,470,3.6,5.491,38.298,0,0,0,3.6,5.491,38.298,,,,Alaska
2090,AK,Alaska,Fairbanks North Star,145,13,175,0.46,0.66,98971,72505,10204,1.465,2,14.21,0.131,0.179,1.274,1.768,2.414,17.15,,,,Alaska
2110,AK,Alaska,Juneau,45,9,73,0.41,0.32,32113,24525,4298,1.401,1.835,10.47,0.28,0.367,2.094,2.273,2.977,16.985,,,,Alaska
2122,AK,Alaska,Kenai Peninsula,76,6,77,0.56,0.69,58533,44086,10188,1.298,1.724,7.46,0.103,0.136,0.589,1.315,1.747,7.558,,,,Alaska
2130,AK,Alaska,Ketchikan Gateway,25,4,25,0.42,0.31,13918,10514,2162,1.796,2.378,11.563,0.287,0.38,1.85,1.796,2.378,11.563,,,,Alaska
2150,AK,Alaska,Kodiak Island,24,0,25,0.22,,13345,9602,1379,1.798,2.499,17.404,0,0,0,1.873,2.604,18.129,,,,Alaska
2170,AK,Alaska,Matanuska-Susitna,74,14,125,0.72,0.33,107610,76265,12814,0.688,0.97,5.775,0.13,0.184,1.093,1.162,1.639,9.755,,,,Alaska
2180,AK,Alaska,Nome,0,0,36,,,10008,6248,774,0,0,0,0,0,0,3.597,5.762,46.512,,,,Alaska
2185,AK,Alaska,North Slope,20,0,0,0.06,,9872,7055,673,2.026,2.835,29.718,0,0,0,0,0,0,,,,Alaska
2188,AK,Alaska,Northwest Arctic,17,0,17,0.23,,7671,4736,561,2.216,3.59,30.303,0,0,0,2.216,3.59,30.303,,,,Alaska
2195,AK,Alaska,Petersburg,12,0,12,0.26,,3221,2484,615,3.726,4.831,19.512,0,0,0,3.726,4.831,19.512,,,,Alaska
2220,AK,Alaska,Sitka,25,0,52,0.37,,8647,6598,1361,2.891,3.789,18.369,0,0,0,6.014,7.881,38.207,,,,Alaska
2261,AK,Alaska,Valdez-Cordova,24,0,24,0.22,,9164,6823,1256,2.619,3.518,19.108,0,0,0,2.619,3.518,19.108,,,,Alaska
2275,AK,Alaska,Wrangell,8,0,8,0.19,,2503,1954,548,3.196,4.094,14.599,0,0,0,3.196,4.094,14.599,,,,Alaska
1001,AL,Alabama,Autauga,55,6,85,0.62,0.53,55601,41177,8653,0.989,1.336,6.356,0.108,0.146,0.693,1.529,2.064,9.823,,,,Alabama
1003,AL,Alabama,Baldwin,362,51,386,0.64,0.65,218022,166352,44571,1.66,2.176,8.122,0.234,0.307,1.144,1.77,2.32,8.66,,,,Alabama
1005,AL,Alabama,Barbour,30,5,74,0.43,0.42,24881,19189,4832,1.206,1.563,6.209,0.201,0.261,1.035,2.974,3.856,15.315,,,,Alabama
1007,AL,Alabama,Bibb,25,0,35,0.37,,22400,17348,3690,1.116,1.441,6.775,0,0,0,1.562,2.018,9.485,,,,Alabama
1009,AL,Alabama,Blount,25,6,25,0.5,0.34,57840,43175,10548,0.432,0.579,2.37,0.104,0.139,0.569,0.432,0.579,2.37,,,,Alabama
1011,AL,Alabama,Bullock,30,0,61,0.21,,10138,7810,1661,2.959,3.841,18.061,0,0,0,6.017,7.81,36.725,,,,Alabama
1013,AL,Alabama,Butler,66,7,94,0.18,0.38,19680,14868,3995,3.354,4.439,16.521,0.356,0.471,1.752,4.776,6.322,23.529,,,,Alabama
